CustomerID;Income;Age;Gender;MaritalStatus;City;Date;Period;Treatment_Campaign;Spending;WebPurchases;StorePurchases;CatalogPurchases;MntFood;MntFashion;MntElectronics
1894;17829445;51;Male;Divorced;Makassar;12/05/2024;Before;0;4989627;1;4;1;1726157;1845121;3755357
1314;19770274;62;Male;Widowed;Medan;31/08/2023;Before;0;3015320;4;3;1;1258187;1248406;4277438
1704;6210016;54;Male;Widowed;Denpasar;11/07/2023;Before;0;1339452;2;4;0;1290407;1459034;4844429
1071;11464685;36;Female;Single;Surabaya;22/05/2023;Before;0;3141611;2;4;2;1570787;642080;4524119
975;21161634;61;Female;Divorced;Makassar;21/10/2024;After;1;2630305;6;3;4;1173772;2363890;2934534
1739;17391234;51;Female;Single;Medan;23/08/2024;After;0;1304214;1;6;3;975505;290081;1641720
1238;9193956;42;Female;Single;Denpasar;14/07/2024;After;1;2875951;4;7;3;511805;2027338;702638
758;3327359;38;Female;Married;Medan;09/10/2024;After;0;4450105;1;3;2;877036;1060479;2147834
1048;13288051;51;Female;Single;Makassar;10/07/2023;Before;0;2986762;2;6;2;1487519;2859129;2317603
321;18559675;58;Male;Married;Jakarta;29/05/2023;Before;0;389044;1;4;1;694317;1840945;2821075
274;24155943;32;Male;Divorced;Denpasar;21/08/2024;After;0;4735305;6;4;1;1241069;2409648;2133733
556;5763642;38;Male;Divorced;Jakarta;20/02/2024;Before;0;3782818;3;1;1;1448588;263343;4768752
844;3067661;39;Female;Married;Jakarta;03/06/2024;Before;0;717868;1;2;1;506108;495471;4856038
1337;13912996;54;Female;Divorced;Denpasar;16/01/2023;Before;0;937924;2;3;1;1441367;1747283;4742645
1387;6433382;52;Female;Widowed;Medan;16/04/2023;Before;0;2375968;4;5;3;828879;65655;1121345
668;10686841;31;Male;Divorced;Medan;10/10/2023;Before;0;150310;1;3;2;1328819;1266822;2768645
1000;8282591;34;Female;Widowed;Denpasar;14/04/2023;Before;0;2790764;1;7;3;1695773;776839;3526976
380;3666326;56;Male;Single;Medan;27/12/2023;Before;0;2498486;8;4;2;1626984;1977050;207139
711;13270156;31;Female;Single;Medan;19/10/2024;After;1;1348853;3;4;0;1067369;2609921;776179
1943;18292361;23;Male;Divorced;Medan;04/02/2023;Before;0;3980723;4;3;2;167305;76041;3371390
1698;11025407;26;Male;Married;Makassar;23/04/2023;Before;0;4709659;4;5;3;682076;1918080;3261622
1931;12963441;52;Female;Married;Surabaya;04/11/2023;Before;0;3866381;3;8;5;1485541;1117970;2722771
1494;18527000;62;Male;Divorced;Medan;22/02/2023;Before;0;1761914;2;6;3;1352102;438066;2425756
746;14834106;18;Female;Widowed;Denpasar;22/03/2023;Before;0;749251;3;5;0;1560402;1166614;3694575
675;15237301;51;Female;Divorced;Bandung;07/09/2024;After;0;4396740;6;0;1;1789003;2850295;306075
116;8515989;36;Male;Widowed;Denpasar;04/01/2024;Before;0;3125485;4;8;3;1084245;795621;2826472
605;3448345;18;Male;Divorced;Medan;30/08/2023;Before;0;3832544;4;4;1;1281623;2004698;3976797
1066;12451337;39;Male;Married;Medan;31/01/2023;Before;0;3795198;4;5;2;527252;940025;724948
1820;21202161;64;Female;Married;Bandung;04/12/2024;After;1;1593628;3;6;0;1842788;182763;3441769
379;7183839;54;Male;Single;Makassar;27/12/2023;Before;0;470492;3;3;1;722985;315400;1579537
1746;19241927;20;Female;Divorced;Makassar;21/08/2023;Before;0;3820488;1;5;3;1668167;2957638;1068876
1230;9918889;29;Male;Married;Jakarta;01/09/2024;After;0;1673936;2;6;1;1946243;1123181;3504259
466;16233331;25;Female;Married;Surabaya;03/02/2023;Before;0;910262;2;5;6;938278;942611;337448
1756;11546310;38;Female;Married;Makassar;31/08/2023;Before;0;5087660;1;3;2;1741437;286503;3373648
280;24104792;59;Female;Widowed;Jakarta;28/02/2023;Before;0;3443552;4;3;4;1808571;1857955;3988912
1672;12607366;29;Male;Single;Makassar;12/06/2024;Before;0;1097139;2;3;1;94665;162238;4663638
618;6319144;27;Male;Married;Denpasar;19/03/2023;Before;0;55606;6;11;0;820495;201968;4860719
118;17881728;56;Female;Widowed;Bandung;18/12/2024;After;0;2060763;4;5;1;1764024;2547051;850396
1261;20663256;37;Female;Married;Makassar;29/10/2023;Before;0;3170644;5;8;1;822122;2881599;3716956
309;19893597;19;Female;Single;Surabaya;08/11/2024;After;0;3566612;5;8;5;789878;772542;177618
1480;4514542;28;Female;Married;Makassar;22/04/2023;Before;0;1289154;2;5;5;480801;1950734;2204224
1924;22205297;48;Female;Married;Denpasar;17/02/2024;Before;0;4738705;3;5;5;91674;658113;2785698
1499;13569320;25;Male;Divorced;Denpasar;13/11/2023;Before;0;2149322;2;4;0;704501;543215;4572289
